"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"X01_16S",149,285.12,41.8486951657066,359.482543419277,13.2902535583003,1.70806511897585,0.557254527814755,2.2586340523469,28.1528081394103
"X02_16S",296,437.566037735849,34.1997074398664,460.58463511411,12.6570838781882,2.92162562658101,0.878023478204062,8.19829902735675,57.69631217317
"X03_16S",311,398.849056603774,23.5003570488551,400.295986989577,9.84688548571592,2.81021989658465,0.838249496847763,6.18236098504632,60.4435843707406
"X04_16S",184,253.75,23.4763786312948,253.354775655614,8.40021738187949,2.65569459560496,0.854235925883938,6.8604010011669,32.3295939990418
"X05_16S",147,226.444444444444,26.3226935210857,229.995343008171,8.48704395990958,1.13764142890119,0.570811512354482,2.32997861961744,21.9358735760075
"X06_16S",742,993.049180327869,42.2382807029151,1005.3878426565,16.5057392372722,3.4949263327554,0.927244574496033,13.7446794252544,121.954494685327
"X07_16S",235,314,23.5575313716268,308.390689472384,8.84031314070564,2.89135475501565,0.905168982737836,10.5450730032291,38.4573266612792
"X08_16S",253,413.660377358491,37.8505119162798,453.104835653462,13.4290746080062,4.50750148313049,0.953042087164947,21.2956654081424,121.529632019599
"X09_16S",254,413.85,36.3212325983647,444.038987050302,12.2018280456662,3.21630526615881,0.859469791983342,7.11590777608089,84.7862657206708
"X10_16S",176,244.695652173913,20.1985756859771,283.819623206814,11.1115071802644,2.30940070263257,0.651767166615651,2.87164191349036,46.671861528169
"X101_16S",110,182.058823529412,27.9869804737988,182.913749422357,7.92946733979222,2.52219411207719,0.771813705022868,4.38238413967944,25.7556632142389
"X102_16S",85,135.647058823529,21.0433438021367,161.589489846971,8.67298704001702,2.64891825371253,0.843890063578962,6.40574215149854,24.7732358869677
"X103_16S",77,129.5,24.0383619466306,134.013697686928,6.6828039586637,3.19274232321299,0.905791842067063,10.6147919876733,25.4722902279116
"X104_16S",188,247.428571428571,19.4466673859529,261.987917335365,8.62482073081874,3.31522759648382,0.937112137425859,15.9013195721362,35.636252568675
"X106_16S",114,175.384615384615,21.6757287737595,199.147048611111,9.34280119122507,1.57479495268006,0.588854588187941,2.43222950146192,23.4951280772862
"X107_16S",33,35.5454545454545,2.60575981104699,38.5795816194322,2.81541355005833,2.72936963841633,0.898104710076937,9.81399631675875,10.7891869720551
"X109_16S",91,124.055555555556,14.795262549351,138.781057059502,6.54637254280425,2.84661768252902,0.856679286100595,6.97735849056604,21.8931746027367
"X11_16S",131,164.681818181818,14.2234483700303,172.921983906336,7.2022810868859,2.89381045500901,0.893619478048359,9.40021708536628,25.1227176665598
"X110_16S",37,54,10.9880676284929,60.9286464677489,4.67001107464114,2.77087419713528,0.877203811581343,8.14357524348099,15.0410594986943
"X111_16S",23,36.2,10.2054428117268,40.888,3.1754640971688,1.70182840456644,0.637204386312591,2.75637290604516,7.10150241880815
"X112_16S",34,55.8571428571429,13.8747029842055,73.4762528330395,5.25641690172867,2.37550914151514,0.85988103955499,7.13679288530302,10.1511995848463
"X113_16S",188,232.675675675676,15.4019234289989,242.48883383974,8.13127918974756,2.88262115528517,0.91117006621224,11.2574664570761,30.7835048431196
"X114_16S",44,65.8571428571429,13.8766064727135,66.1609932831264,4.56322010258422,2.59933907081185,0.841556365258775,6.3113927021002,13.6705170658956
"X115_16S",53,83,16.1506928494747,88.9807546100982,5.1009884189435,3.39610991734064,0.950628698224852,20.2546816479401,22.957902940326
"X116_16S",182,210.285714285714,11.1007174008357,220.022692052771,7.35866387549735,3.28589347368422,0.937468201603859,15.9918637501032,31.2087562214332
"X118_16S",94,123.333333333333,13.4910547521995,127.776506696429,5.71191011834522,3.85287442134236,0.963916549922381,27.713536201469,32.928406221555
"X119_16S",271,356.3125,21.8445154496239,378.193180834488,10.9908851875247,3.8705855639396,0.943189978627913,17.6025281428841,78.9367752746917
"X12_16S",65,99.3636363636364,17.5145877397104,98.020206185567,5.01612428582,2.96761204553768,0.905441783629904,10.5754955876711,18.0529156606657
"X120_16S",157,360.333333333333,83.912731170195,328.34023899933,10.6496917467828,2.33189819799505,0.87449026319453,7.9675093379402,15.4651143688318
"X121_16S",98,133.357142857143,13.8578604606439,174.989359594429,9.89284256296725,2.01826733131301,0.723783561655877,3.62034933907212,21.875839129613
"X122_16S",76,103.555555555556,12.8584323355598,120.609248301556,6.73850184691235,2.9353322821678,0.875485008818342,8.03116147308782,22.5982789626159
"X123_16S",31,36.6,5.34011972604778,37.5061840120664,2.87855909024935,2.62476668691598,0.868121321865097,7.58272689825621,9.56337365835474
"X124_16S",170,225.914893617021,17.1669604737416,252.063690938252,9.8554585722199,4.03175512196129,0.960145001880921,25.0909558949717,63.6994419309322
"X125_16S",64,129,28.6488549616131,128.933033707865,5.0558990819279,2.32729776013426,0.762892833662064,4.21750221827862,21.7688513012131
"X126_16S",46,81.1,18.3111211987716,89.9936064790986,4.95728237815549,1.01093336799022,0.314917342036661,1.45967787737157,11.2450335851492
"X127_16S",174,225.333333333333,18.1072205136132,237.031878817614,8.40869760824387,2.96115603368177,0.91356784136848,11.5697677326703,28.5984221303914
"X128_16S",111,172.6,21.9824266870113,204.846038863976,9.83479924012217,2.89042118826232,0.832484924426345,5.96961196820944,37.7131468612772
"X13_16S",87,153.3,24.8947553378231,162.620706398803,6.82637076383603,2.91329931581654,0.816865655964427,5.46047223018832,37.9310481888511
"X130_16S",65,88.1,13.1410772954812,94.5431360946746,5.12494408402434,2.64018429236585,0.875879311343792,8.05667460297309,12.8157078000143
"X131_16S",101,134.681818181818,14.2231705158234,150.033597754305,7.07737730206969,1.31628900730183,0.55753611144941,2.26007144509752,15.8166429600202
"X132_16S",101,134.47619047619,14.3327107101803,146.69943019943,6.898205104864,1.32814349923548,0.445002180754182,1.80180888162568,17.5387495897731
"X134_16S",62,95,15.2599171000801,126.239308240843,7.97909522630647,2.82154212790036,0.864367476279783,7.37286288399973,22.5852185392239
"X135_16S",52,102.142857142857,27.2793307189017,98.5948955066725,5.46529241909882,3.19650850067446,0.932151186597589,14.7386512726319,20.5763418526312
"X136_16S",36,90.1666666666667,30.4943552650406,130.849664,6.2583015711593,2.12436633984402,0.756915526472338,4.11379626797186,14.2489885572236
"X137_16S",151,227.555555555556,28.892701702479,224.739688683448,8.30289995052508,3.7398161700709,0.954963312140817,22.2041195197729,35.7483851397571
"X138_16S",211,344.783783783784,36.4354865258156,346.86979061096,10.9481118828625,3.82643950421116,0.951531083275743,20.6317794492722,62.2589081513415
"X139_16S",117,162.047619047619,18.0502585400175,183.646334337013,8.95783495727703,3.27355038173224,0.943892875970433,17.8230486287807,22.0059891395837
"X14_16S",170,244.285714285714,24.681788312335,252.410847409744,8.60423985865779,2.50505869757672,0.849271598776189,6.6344497246749,31.8365416663609
